2021/12/21 16:26:17 [error] 12032#6352: *4729 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /img/Apple%20iPhone%20X%20Silver.jpg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10044", host: "feccawp.local", referrer: "http://feccawp.local/"
2021/12/21 16:26:17 [error] 12032#6352: *4737 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /img/qq.png HTTP/1.0", upstream: "fastcgi://127.0.0.1:10044", host: "feccawp.local", referrer: "http://feccawp.local/"
2021/12/21 16:26:17 [error] 12032#6352: *4733 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /img/galochka.png HTTP/1.0", upstream: "fastcgi://127.0.0.1:10044", host: "feccawp.local", referrer: "http://feccawp.local/"
2022/01/04 16:55:12 [error] 4312#14064: *4907 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/feccawp/img/down.svg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10045", host: "feccawp.local", referrer: "http://feccawp.local/wp-content/themes/feccawp/css/style.css"
2022/01/04 16:55:14 [error] 4312#14064: *4905 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /img/Oval.jpg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10044", host: "feccawp.local", referrer: "http://feccawp.local/"
2022/01/04 16:55:14 [error] 4312#14064: *4905 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /img/Oval.jpg HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/"
2022/01/04 16:55:14 [error] 4312#14064: *4907 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/themes/feccawp/img/down.svg HTTP/1.0", upstream: "fastcgi://127.0.0.1:10044", host: "feccawp.local", referrer: "http://feccawp.local/wp-content/themes/feccawp/css/style.css"
2022/01/04 16:55:14 [error] 4312#14064: *4910 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/"
2022/01/04 16:55:17 [error] 4312#14064: *4911 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=users_review HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/post-new.php?post_type=users_review"
2022/01/04 16:55:17 [error] 4312#14064: *4912 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/edit.php?post_type=users_review"
2022/01/04 16:55:19 [error] 4312#14064: *4913 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=users_review HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/post-new.php?post_type=users_review"
2022/01/04 16:55:19 [error] 4312#14064: *4914 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/edit.php?post_type=users_review"
2022/01/04 16:55:21 [error] 4312#14064: *4915 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=users_review HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/post-new.php?post_type=users_review"
2022/01/04 16:55:21 [error] 4312#14064: *4916 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/edit.php?post_type=users_review"
2022/01/04 16:55:22 [error] 4312#14064: *4917 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=users_review HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/post-new.php?post_type=users_review"
2022/01/04 16:55:22 [error] 4312#14064: *4918 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/edit.php?post_type=users_review"
2022/01/04 16:55:22 [error] 4312#14064: *4919 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=users_review HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/post-new.php?post_type=users_review"
2022/01/04 16:55:22 [error] 4312#14064: *4920 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "feccawp.local", referrer: "http://feccawp.local/wp-admin/edit.php?post_type=users_review"
